Game,Date,A,B,C,D,E,F
1,04/01/2023,7,12,15,21,30,34
2,07/01/2023,3,8,26,28,33,35
3,11/01/2023,1,5,14,18,31,35
4,14/01/2023,11,14,20,24,28,29
