Game,Date,A,B,C,D,E,F
2,07/01/2017,5,8,21,25,26,37
4,14/01/2017,1,4,11,15,17,34
6,21/01/2017,7,11,13,14,19,36
8,28/01/2017,10,12,27,34,37,38
10,04/02/2017,1,13,21,23,33,38
12,11/02/2017,1,7,10,13,31,36
14,18/02/2017,7,8,19,28,32,36
16,25/02/2017,11,17,22,26,37,40
18,04/03/2017,1,9,13,16,24,33
20,11/03/2017,5,6,7,14,24,36
22,18/03/2017,1,3,10,12,18,24
24,25/03/2017,6,11,21,24,33,37
26,01/04/2017,6,8,12,31,35,38
28,08/04/2017,3,8,14,22,24,35
30,15/04/2017,2,6,15,22,34,40
32,22/04/2017,8,14,15,22,32,37
34,29/04/2017,1,2,12,27,33,38
36,06/05/2017,2,7,14,23,30,34
38,13/05/2017,4,11,13,27,29,40
40,20/05/2017,1,7,8,11,22,24
42,27/05/2017,11,19,22,28,30,35
44,03/06/2017,2,17,31,33,36,38
46,10/06/2017,5,17,24,29,32,33
48,17/06/2017,13,15,17,27,32,39
50,24/06/2017,5,18,32,36,37,39
52,01/07/2017,16,21,23,26,31,32
54,08/07/2017,6,11,13,19,31,35
56,15/07/2017,5,26,28,33,36,37
58,22/07/2017,3,10,18,21,25,30
60,29/07/2017,5,8,11,23,25,32
62,05/08/2017,3,10,20,26,27,34
64,12/08/2017,7,16,17,24,28,31
66,19/08/2017,9,11,14,31,32,35
68,26/08/2017,1,3,5,19,27,30
70,02/09/2017,9,13,19,23,24,28
72,09/09/2017,7,11,19,33,34,38
74,16/09/2017,8,11,20,28,33,39
76,23/09/2017,14,15,16,17,26,28
78,30/09/2017,4,8,31,32,34,36
80,07/10/2017,13,19,20,33,34,36
82,14/10/2017,9,11,13,21,36,39
84,21/10/2017,6,14,15,16,21,23
86,28/10/2017,9,10,11,16,19,24
88,04/11/2017,26,27,33,37,38,40
90,11/11/2017,8,19,26,32,36,40
92,18/11/2017,3,5,6,7,15,22
94,25/11/2017,9,20,21,29,31,33
96,02/12/2017,2,17,20,28,34,39
98,09/12/2017,6,10,24,28,31,35
100,16/12/2017,3,13,19,22,27,28
102,23/12/2017,12,15,16,21,23,37
104,30/12/2017,6,7,8,11,15,38
