Game,Date,A,B,C,D,E,F
1,02/01/2019,6,12,16,20,25,31
2,05/01/2019,1,5,9,10,20,34
3,09/01/2019,3,9,22,26,31,35
4,12/01/2019,10,11,21,22,29,36
5,16/01/2019,21,29,34,35,37,39
6,19/01/2019,2,6,15,17,23,24
7,23/01/2019,18,24,26,29,39,40
8,26/01/2019,14,16,18,19,22,29
9,30/01/2019,1,2,11,14,31,36
10,02/02/2019,10,19,31,33,35,38
11,06/02/2019,3,20,21,23,30,37
12,09/02/2019,3,19,25,28,32,37
13,13/02/2019,8,15,26,29,30,32
14,16/02/2019,3,13,14,16,19,34
15,20/02/2019,6,7,8,13,15,19
16,23/02/2019,8,12,15,17,23,30
17,27/02/2019,4,11,16,22,25,28
18,02/03/2019,2,14,28,32,35,39
19,06/03/2019,1,5,10,25,26,37
20,09/03/2019,5,6,12,14,20,27
21,13/03/2019,5,21,25,29,36,38
22,16/03/2019,7,8,11,17,26,38
23,20/03/2019,12,14,15,19,20,29
24,23/03/2019,3,8,9,25,30,36
25,27/03/2019,4,5,21,25,28,34
26,30/03/2019,3,9,10,22,23,35
27,03/04/2019,1,4,16,21,25,33
28,06/04/2019,7,9,17,26,28,31
29,10/04/2019,3,6,13,14,31,39
30,13/04/2019,13,19,21,25,32,37
31,17/04/2019,2,6,16,21,22,38
32,20/04/2019,2,3,9,13,20,24
33,24/04/2019,4,5,12,19,24,36
34,27/04/2019,2,3,10,17,26,39
35,01/05/2019,3,10,12,13,27,38
36,04/05/2019,4,8,9,29,33,40
37,08/05/2019,9,22,23,24,29,30
38,11/05/2019,3,12,17,23,38,40
39,15/05/2019,1,8,14,15,16,33
40,18/05/2019,7,8,13,19,25,27
41,22/05/2019,2,7,21,34,35,40
42,25/05/2019,2,6,7,9,19,39
43,29/05/2019,10,12,13,19,24,29
44,01/06/2019,2,3,4,7,10,34
45,05/06/2019,10,16,17,20,22,35
46,08/06/2019,19,22,30,31,37,40
47,12/06/2019,4,15,16,22,23,28
48,15/06/2019,2,3,9,29,32,37
49,19/06/2019,1,2,7,10,17,19
50,22/06/2019,2,3,13,16,28,30
51,26/06/2019,5,6,7,17,21,23
52,29/06/2019,9,23,32,37,38,40
53,03/07/2019,3,15,20,25,38,40
54,06/07/2019,9,27,29,30,32,37
55,10/07/2019,12,19,29,33,34,39
56,13/07/2019,2,21,29,31,34,35
57,17/07/2019,8,10,11,22,35,39
58,20/07/2019,1,7,9,12,20,27
59,24/07/2019,8,10,16,21,29,38
60,27/07/2019,1,11,12,21,24,38
61,31/07/2019,7,13,14,26,29,38
62,03/08/2019,5,16,24,31,33,35
63,07/08/2019,6,10,14,26,35,38
64,10/08/2019,1,8,9,21,28,31
65,14/08/2019,1,2,10,27,34,37
66,17/08/2019,1,4,20,23,29,34
67,21/08/2019,2,4,18,21,28,39
68,24/08/2019,2,8,14,24,34,36
69,28/08/2019,2,3,21,22,26,29
70,31/08/2019,6,11,18,20,22,31
71,04/09/2019,9,11,12,23,33,39
72,07/09/2019,3,12,15,23,25,36
73,11/09/2019,14,21,23,27,30,38
74,14/09/2019,6,10,17,22,23,34
75,18/09/2019,12,15,20,26,28,39
76,21/09/2019,4,12,26,31,34,37
77,25/09/2019,4,6,10,25,31,32
78,28/09/2019,2,16,17,26,34,38
79,02/10/2019,5,21,26,28,31,37
80,05/10/2019,11,14,15,23,30,40
81,09/10/2019,5,19,20,27,30,37
82,12/10/2019,2,4,6,7,10,37
83,16/10/2019,8,9,12,31,33,34
84,19/10/2019,19,24,25,32,35,39
85,23/10/2019,1,7,9,20,21,24
86,26/10/2019,1,6,8,10,19,27
87,30/10/2019,7,11,16,30,31,34
88,02/11/2019,4,5,6,9,20,32
89,06/11/2019,2,6,7,12,15,38
90,09/11/2019,4,5,11,13,36,40
91,13/11/2019,3,8,10,25,38,40
92,16/11/2019,14,17,18,23,26,30
93,20/11/2019,12,13,16,17,19,39
94,23/11/2019,10,16,23,26,30,33
95,27/11/2019,6,8,15,20,22,25
96,30/11/2019,2,5,8,9,16,22
97,04/12/2019,2,5,8,11,15,26
98,07/12/2019,2,11,12,19,20,32
99,11/12/2019,3,4,10,29,33,37
100,14/12/2019,2,4,17,27,28,38
101,18/12/2019,8,9,13,20,25,30
102,21/12/2019,5,10,11,15,23,31
103,25/12/2019,1,12,17,22,24,35
104,28/12/2019,14,17,18,22,37,39
