Game,Date,A,B,C,D,E,F
1,02/01/2016,3,7,9,12,16,32
3,09/01/2016,3,5,10,21,25,37
5,16/01/2016,1,9,28,29,34,36
7,23/01/2016,3,10,13,19,21,36
9,30/01/2016,3,7,27,33,34,40
11,06/02/2016,2,15,18,20,24,33
13,13/02/2016,6,21,25,30,33,35
15,20/02/2016,7,9,11,23,29,38
17,27/02/2016,5,20,22,29,32,37
19,05/03/2016,3,9,10,16,18,28
21,12/03/2016,3,4,12,17,33,40
23,19/03/2016,4,13,17,21,29,34
25,26/03/2016,11,16,22,24,29,40
27,02/04/2016,1,4,9,11,25,32
29,09/04/2016,1,7,9,11,29,36
31,16/04/2016,14,23,25,26,36,40
33,23/04/2016,4,7,25,37,39,40
35,30/04/2016,5,7,12,21,24,31
37,07/05/2016,12,15,22,24,26,36
39,14/05/2016,7,13,20,21,34,37
41,21/05/2016,3,5,9,26,33,34
43,28/05/2016,2,5,17,23,28,34
45,04/06/2016,1,3,9,12,29,38
47,11/06/2016,1,10,13,24,33,37
49,18/06/2016,2,8,13,22,23,34
51,25/06/2016,9,12,16,26,29,31
53,02/07/2016,6,14,17,29,31,34
55,09/07/2016,1,14,15,22,27,33
57,16/07/2016,3,5,22,26,32,38
59,23/07/2016,4,5,13,20,25,38
61,30/07/2016,3,5,20,31,34,39
63,06/08/2016,3,7,16,21,34,37
65,13/08/2016,2,8,9,27,30,35
67,20/08/2016,2,7,14,26,31,35
69,27/08/2016,3,18,24,27,33,38
71,03/09/2016,7,13,14,22,30,36
73,10/09/2016,5,8,14,23,29,34
75,17/09/2016,9,18,20,21,27,30
77,24/09/2016,6,8,17,33,34,39
79,01/10/2016,4,15,21,22,25,37
81,08/10/2016,6,11,14,16,22,38
83,15/10/2016,2,8,13,17,27,39
85,22/10/2016,6,9,10,13,17,27
87,29/10/2016,4,5,6,10,27,36
89,05/11/2016,4,16,18,19,20,23
91,12/11/2016,6,7,8,18,35,38
93,19/11/2016,1,3,13,21,25,37
95,26/11/2016,1,23,29,36,38,39
97,03/12/2016,4,15,28,31,33,34
99,10/12/2016,2,7,15,22,29,34
101,17/12/2016,3,15,17,26,28,37
103,24/12/2016,11,12,27,29,34,36
