Game,Date,A,B,C,D,E,F
1,01/01/2020,1,11,20,28,30,36
2,04/01/2020,3,5,13,34,36,39
3,08/01/2020,5,14,21,32,34,38
4,11/01/2020,1,6,8,16,18,23
5,15/01/2020,1,9,13,17,20,39
6,18/01/2020,2,5,26,27,30,35
7,22/01/2020,1,4,10,18,27,29
8,25/01/2020,18,21,25,36,38,40
9,29/01/2020,6,7,10,15,18,37
10,01/02/2020,3,13,15,25,26,37
11,05/02/2020,3,4,5,9,11,28
12,08/02/2020,2,9,10,12,14,29
13,12/02/2020,1,18,26,29,36,40
14,15/02/2020,6,11,16,29,32,39
15,19/02/2020,20,32,33,35,37,39
16,22/02/2020,3,16,22,24,29,35
17,26/02/2020,1,20,28,32,34,40
18,29/02/2020,3,4,12,13,22,27
19,04/03/2020,3,8,10,31,34,36
20,07/03/2020,8,15,27,29,30,35
21,11/03/2020,6,8,12,16,25,27
22,14/03/2020,1,3,7,26,36,37
23,18/03/2020,3,4,6,17,29,30
46,06/06/2020,7,8,14,18,21,37
47,10/06/2020,1,16,22,29,30,34
48,13/06/2020,3,6,10,11,18,31
49,17/06/2020,8,14,18,30,33,38
50,20/06/2020,3,5,10,19,22,24
51,24/06/2020,10,15,21,22,28,38
52,27/06/2020,3,4,28,31,32,36
53,01/07/2020,3,12,15,25,28,39
54,04/07/2020,15,17,21,24,31,33
55,08/07/2020,4,5,14,18,28,34
56,11/07/2020,9,17,22,28,32,39
57,15/07/2020,2,13,21,26,32,37
58,18/07/2020,2,7,24,25,29,35
59,22/07/2020,4,10,13,15,21,22
60,25/07/2020,5,15,16,20,34,40
61,29/07/2020,9,11,18,25,28,38
62,01/08/2020,3,10,12,18,29,34
63,05/08/2020,4,8,12,21,22,24
64,08/08/2020,1,17,20,25,26,29
65,12/08/2020,5,9,12,13,20,24
66,15/08/2020,3,11,19,26,29,37
67,19/08/2020,3,14,16,23,35,38
68,22/08/2020,1,7,16,21,23,38
69,26/08/2020,12,19,22,29,32,36
70,29/08/2020,6,13,15,18,22,27
71,02/09/2020,9,11,16,27,28,39
72,05/09/2020,1,2,5,25,30,32
73,09/09/2020,3,7,14,16,22,38
74,12/09/2020,1,5,18,28,36,37
75,16/09/2020,5,7,8,11,14,22
76,19/09/2020,3,7,11,21,24,31
77,23/09/2020,4,14,16,34,36,38
78,26/09/2020,1,10,12,20,26,37
79,30/09/2020,18,23,24,26,36,40
80,03/10/2020,7,9,19,23,36,40
81,07/10/2020,17,21,22,25,29,32
82,10/10/2020,1,11,19,31,36,38
83,14/10/2020,10,13,15,26,35,38
84,17/10/2020,2,27,28,30,39,40
85,21/10/2020,11,16,19,25,38,39
86,24/10/2020,10,15,16,22,25,30
87,28/10/2020,12,16,21,22,27,38
88,31/10/2020,10,11,14,30,34,36
89,04/11/2020,8,11,18,19,23,27
90,07/11/2020,2,8,11,15,23,40
91,11/11/2020,9,23,27,28,31,33
92,14/11/2020,2,6,26,27,28,35
93,18/11/2020,2,11,19,33,34,37
94,21/11/2020,10,23,25,31,33,40
95,25/11/2020,16,17,21,36,37,39
96,28/11/2020,19,21,31,32,34,38
97,02/12/2020,7,14,17,21,27,39
98,05/12/2020,3,6,15,22,25,26
99,09/12/2020,9,12,18,28,33,38
100,12/12/2020,1,4,11,15,23,38
101,16/12/2020,12,17,18,19,29,32
102,19/12/2020,2,6,15,26,36,37
103,23/12/2020,6,7,8,24,27,31
104,26/12/2020,1,12,13,25,26,38
