Game,Date,A,B,C,D,E,F
1,02/01/2010,7,17,27,29,34,37
3,09/01/2010,8,10,24,26,27,36
5,16/01/2010,12,15,28,30,34,39
7,23/01/2010,4,9,12,19,30,40
9,30/01/2010,8,13,17,23,25,38
13,13/02/2010,1,6,12,14,18,40
15,20/02/2010,7,11,24,25,31,39
17,27/02/2010,5,8,13,23,26,36
21,13/03/2010,2,4,6,9,19,29
23,20/03/2010,1,9,11,26,34,35
25,27/03/2010,6,11,12,27,39,40
29,10/04/2010,1,11,16,17,18,31
31,17/04/2010,8,14,21,26,34,36
33,24/04/2010,2,5,26,31,36,38
39,15/05/2010,1,6,13,16,20,26
41,22/05/2010,11,14,21,23,31,35
43,29/05/2010,6,21,25,27,38,39
44,02/06/2010,8,15,16,17,20,26
45,05/06/2010,1,7,15,21,23,27
47,12/06/2010,1,9,23,35,36,39
49,19/06/2010,7,14,27,28,38,40
51,26/06/2010,21,25,28,33,35,40
53,03/07/2010,11,12,14,15,18,35
55,10/07/2010,10,12,15,18,28,29
57,17/07/2010,7,10,18,20,22,29
59,24/07/2010,2,4,5,9,12,18
61,31/07/2010,5,11,19,28,31,36
63,07/08/2010,8,17,18,24,26,30
65,14/08/2010,7,14,20,23,37,39
67,21/08/2010,6,17,21,26,34,35
69,28/08/2010,4,7,18,19,22,23
71,04/09/2010,9,25,29,30,31,37
73,11/09/2010,9,11,18,20,37,39
75,18/09/2010,1,2,10,18,30,33
77,25/09/2010,10,12,15,31,33,39
79,02/10/2010,3,4,5,12,19,25
81,09/10/2010,8,19,23,24,28,39
83,16/10/2010,10,12,19,25,26,35
85,23/10/2010,19,20,28,31,38,40
87,30/10/2010,6,9,17,19,38,39
89,06/11/2010,8,9,17,28,31,34
91,13/11/2010,9,17,19,29,31,36
93,20/11/2010,2,8,9,17,25,30
95,27/11/2010,1,2,11,17,20,39
97,04/12/2010,7,11,16,23,30,36
99,11/12/2010,3,4,6,11,21,32
101,18/12/2010,5,17,19,24,26,38
103,25/12/2010,1,13,18,23,24,38
