Game,Date,A,B,C,D,E,F
2,04/01/2014,1,5,6,20,34,36
4,11/01/2014,12,17,21,28,34,38
6,18/01/2014,2,12,13,25,30,32
8,25/01/2014,4,17,30,32,35,36
10,01/02/2014,14,19,24,28,30,34
12,08/02/2014,8,10,18,19,24,30
14,15/02/2014,4,5,7,22,28,34
16,22/02/2014,15,18,28,31,37,40
18,01/03/2014,2,13,17,31,35,38
20,08/03/2014,5,7,8,15,38,39
22,15/03/2014,2,4,15,20,23,27
24,22/03/2014,1,3,4,7,12,16
26,29/03/2014,15,20,27,28,31,34
28,05/04/2014,11,15,16,34,36,40
30,12/04/2014,5,6,9,11,13,30
32,19/04/2014,20,21,25,30,32,33
34,26/04/2014,2,4,10,11,17,30
36,03/05/2014,6,7,12,29,32,38
38,10/05/2014,1,3,13,25,37,40
40,17/05/2014,6,15,16,22,26,28
42,24/05/2014,4,6,7,9,37,40
44,31/05/2014,10,23,28,29,31,35
46,07/06/2014,2,7,8,11,33,38
48,14/06/2014,3,15,21,22,30,31
50,21/06/2014,3,18,28,35,37,38
52,28/06/2014,11,12,14,16,25,36
54,05/07/2014,6,11,30,32,33,40
56,12/07/2014,13,14,25,26,37,38
58,19/07/2014,16,19,25,30,35,38
60,26/07/2014,2,11,16,34,35,39
62,02/08/2014,1,16,22,32,33,36
64,09/08/2014,4,6,10,12,13,32
66,16/08/2014,3,6,28,29,36,38
68,23/08/2014,2,3,19,21,30,37
70,30/08/2014,8,14,22,28,32,36
72,06/09/2014,2,8,15,17,21,36
74,13/09/2014,8,10,13,33,35,36
76,20/09/2014,1,2,6,18,19,22
78,27/09/2014,2,17,18,25,28,34
80,04/10/2014,2,3,18,20,33,34
82,11/10/2014,2,14,22,29,37,38
84,18/10/2014,13,24,28,31,33,37
86,25/10/2014,3,8,12,14,20,38
88,01/11/2014,8,9,10,15,26,27
90,08/11/2014,2,3,5,22,30,39
92,15/11/2014,3,13,18,21,25,26
94,22/11/2014,5,20,30,31,32,40
96,29/11/2014,1,7,16,17,25,35
98,06/12/2014,2,5,7,25,37,40
100,13/12/2014,5,9,16,31,38,40
102,20/12/2014,4,6,14,27,29,38
104,27/12/2014,4,5,6,13,18,36
