Game,Date,A,B,C,D,E,F
2,05/01/2013,6,9,16,18,34,37
4,12/01/2013,3,6,12,20,28,40
6,19/01/2013,5,10,26,27,33,37
8,26/01/2013,27,31,32,33,35,39
10,02/02/2013,4,7,10,17,26,34
12,09/02/2013,7,9,12,15,24,36
14,16/02/2013,12,13,28,30,33,40
16,23/02/2013,7,11,13,21,22,37
18,02/03/2013,9,16,18,24,25,37
20,09/03/2013,3,7,27,30,31,34
22,16/03/2013,4,15,29,32,36,40
24,23/03/2013,10,16,19,31,35,37
26,30/03/2013,5,6,7,15,21,27
28,06/04/2013,2,5,7,9,17,37
30,13/04/2013,14,19,20,22,27,31
32,20/04/2013,4,7,17,21,33,34
34,27/04/2013,2,6,10,14,29,37
36,04/05/2013,2,9,11,22,27,28
38,11/05/2013,2,3,9,17,27,29
40,18/05/2013,4,7,8,15,23,26
42,25/05/2013,2,6,18,26,27,35
44,01/06/2013,13,16,21,27,32,40
46,08/06/2013,1,12,19,29,31,35
48,15/06/2013,2,25,26,28,32,34
50,22/06/2013,9,16,17,20,33,39
52,29/06/2013,4,13,23,29,33,36
54,06/07/2013,8,14,22,24,29,31
56,13/07/2013,8,15,19,25,28,37
58,20/07/2013,3,13,16,32,38,40
60,27/07/2013,9,15,26,28,39,40
62,03/08/2013,5,6,12,26,31,34
64,10/08/2013,15,19,20,22,28,33
66,17/08/2013,1,11,12,16,20,23
68,24/08/2013,5,7,8,10,21,33
70,31/08/2013,1,2,12,13,15,26
72,07/09/2013,1,8,10,17,19,28
73,11/09/2013,9,12,13,15,22,37
74,14/09/2013,12,13,22,26,35,38
76,21/09/2013,1,5,10,13,20,22
78,28/09/2013,5,8,14,27,29,35
80,05/10/2013,2,8,15,24,27,33
82,12/10/2013,4,5,13,32,33,36
84,19/10/2013,5,8,11,12,18,22
86,26/10/2013,2,12,27,28,30,40
92,16/11/2013,11,12,17,30,37,38
94,23/11/2013,6,13,29,35,36,40
96,30/11/2013,4,6,16,18,23,28
98,07/12/2013,5,6,9,17,24,30
100,14/12/2013,9,18,28,29,30,35
102,21/12/2013,1,18,24,31,37,40
104,28/12/2013,3,4,9,14,21,29
