Game,Date,A,B,C,D,E,F
2,07/01/2012,8,10,15,16,23,33
4,14/01/2012,6,8,13,18,28,36
6,21/01/2012,2,14,24,32,37,40
8,28/01/2012,6,13,16,17,27,37
10,04/02/2012,15,17,28,31,36,38
14,18/02/2012,9,15,21,32,33,40
16,25/02/2012,8,17,24,32,38,39
18,03/03/2012,19,20,24,30,34,35
20,10/03/2012,5,19,23,25,31,33
22,17/03/2012,13,15,16,18,23,29
24,24/03/2012,3,9,23,31,32,37
26,31/03/2012,5,14,25,30,31,34
28,07/04/2012,9,14,16,21,22,27
30,14/04/2012,6,16,21,25,33,40
32,21/04/2012,1,2,14,17,30,40
34,28/04/2012,3,16,19,20,25,26
36,05/05/2012,21,24,28,31,34,35
38,12/05/2012,8,10,15,21,29,31
40,19/05/2012,14,16,23,29,35,38
42,26/05/2012,5,6,8,16,29,40
44,02/06/2012,12,15,16,25,32,40
46,09/06/2012,3,5,28,31,34,40
48,16/06/2012,10,20,21,25,31,34
50,23/06/2012,7,12,29,32,33,37
52,30/06/2012,1,2,15,31,38,40
54,07/07/2012,3,7,15,17,29,39
56,14/07/2012,4,8,12,18,27,35
58,21/07/2012,8,11,12,13,30,37
60,28/07/2012,9,11,20,22,32,37
62,04/08/2012,5,15,30,31,35,36
64,11/08/2012,6,8,12,16,26,34
66,18/08/2012,4,5,7,19,26,33
68,25/08/2012,9,11,16,17,20,40
70,01/09/2012,17,24,28,32,33,34
72,08/09/2012,1,9,12,18,20,22
74,15/09/2012,9,17,23,25,27,35
76,22/09/2012,1,4,7,27,34,37
78,29/09/2012,1,4,10,21,25,29
80,06/10/2012,5,11,19,20,36,38
82,13/10/2012,8,16,26,29,36,39
84,20/10/2012,1,7,8,19,35,40
86,27/10/2012,1,8,16,17,19,27
88,03/11/2012,6,8,14,24,28,34
90,10/11/2012,11,14,18,30,32,33
92,17/11/2012,6,7,11,21,22,31
94,24/11/2012,6,8,17,24,32,37
96,01/12/2012,10,13,14,28,29,34
98,08/12/2012,1,7,8,12,16,35
100,15/12/2012,1,3,11,12,14,32
102,22/12/2012,11,16,30,32,35,40
104,29/12/2012,1,11,12,22,33,38
