Game,Date,A,B,C,D,E,F
1,03/01/2015,1,7,9,12,15,20
3,10/01/2015,1,12,27,28,31,34
5,17/01/2015,3,9,15,19,21,25
7,24/01/2015,1,3,6,11,35,40
9,31/01/2015,5,8,12,15,18,28
13,14/02/2015,11,14,24,31,33,39
15,21/02/2015,3,6,14,19,31,38
17,28/02/2015,2,16,17,20,23,36
19,07/03/2015,2,8,20,21,33,38
21,14/03/2015,13,19,21,26,30,38
23,21/03/2015,7,20,21,23,28,40
25,28/03/2015,6,27,30,32,34,40
27,04/04/2015,3,28,30,31,34,38
29,11/04/2015,8,9,13,25,34,36
31,18/04/2015,2,3,4,32,34,39
33,25/04/2015,2,3,23,26,36,40
35,02/05/2015,3,5,9,11,34,39
37,09/05/2015,1,6,9,19,35,36
39,16/05/2015,1,2,11,19,31,38
41,23/05/2015,5,6,14,23,25,29
43,30/05/2015,4,10,14,15,26,34
45,06/06/2015,1,5,13,23,33,39
47,13/06/2015,2,3,10,26,35,38
49,20/06/2015,6,7,18,25,38,39
51,27/06/2015,1,3,12,14,23,38
53,04/07/2015,4,11,20,24,30,38
55,11/07/2015,1,6,8,10,24,30
57,18/07/2015,2,4,5,11,13,17
59,25/07/2015,4,20,25,31,32,33
61,01/08/2015,18,19,21,28,37,40
63,08/08/2015,18,24,29,33,39,40
65,15/08/2015,2,11,17,30,32,34
67,22/08/2015,2,6,10,22,28,39
69,29/08/2015,1,9,11,23,30,35
71,05/09/2015,9,16,21,32,33,35
73,12/09/2015,2,3,14,24,32,38
75,19/09/2015,8,12,16,17,25,39
77,26/09/2015,27,34,36,37,38,39
79,03/10/2015,8,19,23,28,29,40
81,10/10/2015,2,17,21,24,36,40
83,17/10/2015,5,11,13,16,28,32
85,24/10/2015,3,14,17,18,23,37
87,31/10/2015,3,8,13,16,34,35
89,07/11/2015,3,10,12,15,35,39
91,14/11/2015,11,14,20,29,37,39
93,21/11/2015,9,15,22,26,35,40
95,28/11/2015,6,8,24,27,31,35
97,05/12/2015,5,8,13,32,36,37
99,12/12/2015,4,7,12,13,22,37
101,19/12/2015,3,10,19,26,35,37
103,26/12/2015,4,14,15,17,21,34
