Game,Date,A,B,C,D,E,F
1,02/01/2021,3,7,13,30,35,37
2,06/01/2021,12,27,34,35,37,39
3,09/01/2021,8,15,16,22,25,38
4,13/01/2021,9,12,13,18,19,34
5,16/01/2021,4,5,8,19,32,34
6,20/01/2021,5,10,14,17,26,29
7,23/01/2021,8,13,19,24,31,32
8,27/01/2021,23,31,33,34,36,39
9,30/01/2021,5,8,12,15,21,33
10,03/02/2021,2,6,10,13,34,37
11,06/02/2021,7,8,10,13,18,21
12,10/02/2021,1,6,7,8,16,25
13,13/02/2021,1,8,11,22,30,35
14,17/02/2021,1,10,23,24,26,38
15,20/02/2021,4,12,16,27,31,35
16,24/02/2021,1,10,12,13,18,28
17,27/02/2021,10,14,24,34,37,39
18,03/03/2021,10,14,19,28,30,37
19,06/03/2021,2,4,13,31,36,40
29,10/04/2021,2,15,21,25,32,39
30,14/04/2021,4,11,13,19,35,37
31,17/04/2021,7,19,32,35,36,38
32,21/04/2021,3,14,22,23,25,37
33,24/04/2021,1,4,21,28,31,32
35,01/05/2021,11,12,13,21,30,40
36,05/05/2021,2,3,7,10,23,34
37,08/05/2021,8,11,13,17,22,27
38,12/05/2021,1,29,30,33,39,40
39,15/05/2021,3,13,19,34,38,40
40,19/05/2021,3,6,11,17,23,34
41,22/05/2021,8,9,20,28,37,40
42,26/05/2021,4,8,18,19,33,38
43,29/05/2021,1,10,20,22,24,25
44,02/06/2021,4,6,16,18,20,32
46,09/06/2021,15,23,25,32,37,40
47,12/06/2021,2,6,7,8,16,38
48,16/06/2021,3,12,19,25,35,40
49,19/06/2021,8,17,19,21,29,37
50,23/06/2021,1,9,12,18,23,26
51,26/06/2021,1,12,18,22,25,31
52,30/06/2021,9,23,26,27,31,38
53,03/07/2021,4,18,22,29,31,33
54,07/07/2021,17,25,27,37,38,39
55,10/07/2021,2,10,11,26,32,33
56,14/07/2021,2,6,13,16,27,33
57,17/07/2021,5,13,14,17,28,40
58,21/07/2021,5,9,25,27,32,40
59,24/07/2021,2,3,5,8,14,39
60,28/07/2021,3,4,17,21,25,40
61,31/07/2021,1,6,18,21,23,30
62,04/08/2021,9,17,23,26,30,39
63,07/08/2021,2,3,12,15,18,22
64,11/08/2021,8,18,24,28,29,34
65,14/08/2021,4,11,15,21,31,34
66,18/08/2021,2,4,16,17,38,40
67,21/08/2021,7,10,24,26,32,37
68,25/08/2021,6,7,11,15,19,39
69,28/08/2021,1,6,13,25,28,38
70,01/09/2021,7,10,20,28,31,34
71,04/09/2021,9,13,15,17,25,30
72,08/09/2021,1,8,9,11,17,33
73,11/09/2021,10,11,19,22,29,34
74,15/09/2021,1,7,11,26,37,40
75,18/09/2021,1,4,17,18,22,38
76,22/09/2021,7,8,10,23,33,34
77,25/09/2021,1,2,12,24,32,38
78,29/09/2021,11,16,20,24,27,32
79,02/10/2021,5,23,24,28,29,34
80,06/10/2021,13,21,25,27,31,37
81,09/10/2021,4,15,16,17,27,39
82,13/10/2021,9,11,14,22,23,34
83,16/10/2021,3,13,16,18,31,34
84,20/10/2021,4,14,18,31,33,38
85,23/10/2021,1,3,4,12,29,35
86,27/10/2021,4,7,9,17,20,35
87,30/10/2021,5,7,21,22,30,38
88,03/11/2021,7,13,18,19,32,36
89,06/11/2021,5,6,21,24,26,34
90,10/11/2021,17,22,27,33,39,40
91,13/11/2021,6,19,24,27,29,35
92,17/11/2021,5,17,21,25,28,34
93,20/11/2021,4,6,15,18,27,37
94,24/11/2021,1,9,15,16,28,38
95,27/11/2021,8,23,24,27,33,36
96,01/12/2021,15,16,24,26,29,37
97,04/12/2021,13,16,18,21,38,39
98,08/12/2021,5,6,10,11,16,27
99,11/12/2021,1,3,9,10,33,35
100,15/12/2021,2,3,7,27,37,39
101,18/12/2021,3,10,17,18,30,31
102,22/12/2021,2,16,26,27,33,39
103,25/12/2021,1,2,13,26,33,35
104,29/12/2021,11,13,16,25,30,31
