Game,Date,A,B,C,D,E,F
1,01/01/2011,3,5,8,9,23,31
3,08/01/2011,1,3,8,11,12,33
5,15/01/2011,4,8,24,27,31,32
7,22/01/2011,2,4,5,7,13,39
9,29/01/2011,3,9,22,28,31,37
11,05/02/2011,1,4,5,16,18,23
13,12/02/2011,5,19,23,25,32,34
15,19/02/2011,8,17,18,21,29,37
17,26/02/2011,10,13,18,20,27,34
19,05/03/2011,11,23,25,27,30,38
21,12/03/2011,12,15,20,30,32,35
23,19/03/2011,1,10,11,14,17,18
25,26/03/2011,10,15,23,24,25,38
27,02/04/2011,7,11,16,17,24,40
29,09/04/2011,2,15,17,18,25,37
31,16/04/2011,5,10,13,17,36,39
33,23/04/2011,3,20,21,23,31,39
35,30/04/2011,4,13,17,18,29,38
37,07/05/2011,10,15,18,29,39,40
39,14/05/2011,1,2,11,21,26,39
41,21/05/2011,7,25,26,28,38,39
43,28/05/2011,4,10,11,13,24,27
45,04/06/2011,1,6,14,19,32,39
47,11/06/2011,3,16,19,26,30,35
49,18/06/2011,8,13,15,19,20,38
51,25/06/2011,7,18,19,23,30,34
53,02/07/2011,10,22,23,27,29,34
55,09/07/2011,15,18,25,31,33,37
57,16/07/2011,9,15,17,19,27,29
59,23/07/2011,3,11,19,20,21,24
61,30/07/2011,2,3,16,18,34,38
63,06/08/2011,2,10,23,24,29,37
65,13/08/2011,1,12,18,22,24,32
67,20/08/2011,6,7,19,29,33,38
69,27/08/2011,13,14,19,20,31,32
71,03/09/2011,3,7,10,26,34,35
73,10/09/2011,9,14,15,21,25,40
75,17/09/2011,3,5,15,18,19,23
77,24/09/2011,10,15,16,22,38,40
79,01/10/2011,4,7,15,17,28,35
81,08/10/2011,11,22,25,35,36,40
83,15/10/2011,8,15,19,20,30,40
85,22/10/2011,4,5,6,9,15,39
87,29/10/2011,4,8,16,17,30,32
89,05/11/2011,3,5,22,25,27,28
91,12/11/2011,6,13,21,30,37,39
93,19/11/2011,6,14,18,22,25,29
95,26/11/2011,12,18,24,35,36,39
97,03/12/2011,6,21,26,27,29,38
99,10/12/2011,15,17,21,30,37,39
101,17/12/2011,10,27,28,32,35,39
103,24/12/2011,6,18,29,32,36,38
